connector,metadata_schema_version,namespace,provider_ref,title_hash,normalized_local_label,review_key,required_cohort,legacy_occurrences,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-259,885e64fbba0a02fe96ca2e9b7a1cd9832aa11aacc9a31168e1dcb338e9572132,chopped spring onions,c4af63df4677601d32ff28e92448ca568a51f81dd684e07933921970782ff440,,2,D2,spring-onion,"{""form"":""chopped""}",operator-corrective-review-v3,full-ontology-resolution-v3,Local reviewed label explicitly preserves the defining chopped form,frozen provider observation and culinary form adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-40,5d055ff280ca0c2204537d8761a3e35c1f2af12ca2ec8d30d511593d1d88067d,di farina tipo 0,6fed4ae3660ce9e6ea726403e95e3b969c1f2c312baf764c5174c14d98a75934,,51,D2,flour,"{""form"":""flour"",""refinement"":""type_0""}",operator-corrective-review-v3,full-ontology-resolution-v3,Italian tipo 0 is a reviewed defining flour refinement,frozen provider observation and culinary flour adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1002,ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c,fresh blueberries,aef9e8f5ecd455fa1435c993a7b52cf66d6b3bafdeeeef94eee4e22b0f1327ed,,77,D2,blueberry,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Local reviewed label explicitly preserves fresh state,frozen provider observation and culinary state adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-30,5ed728c2fa5d767bc6c1ec6a732db1e37c343be46913e6498d340f7782691f14,fresh tomatoes,b209964155ff9ab925c5819746bdc116432477e6d0badbb4a7a828bf25a83240,,61,D2,tomato,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Local reviewed label explicitly preserves fresh state,frozen provider observation and culinary state adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-60,7a27b49d802e7afe175331b6fb35e946fbab6849f7e48bd4c184177750fe9cc3,freshly squeezed lime juice,1d9c74b47a74a1a32508a62024ea50cbe7ab984a8a66a6c24a9181b71f71c1e0,,96,D2,lime-juice,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Freshly squeezed explicitly preserves reviewed fresh state,frozen provider observation and culinary juice adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-9,cc767fb1c6efc232caf9dd1f6e853d853b58ddd2c058c8820320e69d755c18fb,granulated sugar,81025a637496d36e46986403c4e8c9b5d0e9551b8aa95083362268c61da48ec4,,167,D2,sugar,"{""refinement"":""granulated""}",operator-corrective-review-v3,full-ontology-resolution-v3,Local reviewed label explicitly preserves granulated refinement,frozen provider observation and culinary sugar adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-2765,67aa6b6c143c668356e0bf2568c44deafba7758bc84b5d53372d41cab0d5fa98,ground paprika,9c56e769ad11c17f7ce8bf685d375f77ffdaffe8eef21b864ba1ca4c5c6dbaf6,,75,D2,paprika,"{""form"":""ground""}",operator-corrective-review-v3,full-ontology-resolution-v3,Local reviewed label explicitly preserves ground form,frozen provider observation and culinary spice adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-256,eb31a331ca00003eaf7da5003795d7dd0a6b88438dbeecc3c74f78a9a1cb87dc,large red onions,39354be090ba9d091439527fa66510150e198d87408f5d34cc15dad672b66cfb,,1,D2,onion,"{""size"":""large"",""variety"":""red""}",operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed local label preserves both nondefining size and defining red variety,frozen provider observation and culinary onion adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-224,b5508392157fa1c40dcab78b7a43b66ece775fd4bbb6e04a1b426db2d42310d7,low moisture mozzarella,6ad4571a44533196448d93c2497a199a9a3f158ea634eff6742ce49c1d42c332,,6,D2,mozzarella,"{""moisture"":""low_moisture""}",operator-corrective-review-v3,full-ontology-resolution-v3,Low-moisture mozzarella preserves its reviewed defining moisture class,frozen provider observation and culinary dairy adjudication
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-2765,67aa6b6c143c668356e0bf2568c44deafba7758bc84b5d53372d41cab0d5fa98,paprika ground,6d8690bf63e280a4fda0d9c24288a233f0b1c65d00b136d6f280baeb90c8e3c6,,1,D2,paprika,"{""form"":""ground""}",operator-corrective-review-v3,full-ontology-resolution-v3,Local reviewed label explicitly preserves ground form,frozen provider observation and culinary spice adjudication
