slug,canonical_name,entity_kind,identity_role,active,reviewer,review_batch,rationale,source_citation
alcoholic-beverage,Alcoholic beverage,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
almond,Almond,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
almonds,Almonds,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
animal-derived,Animal Derived,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
apple-juice,Apple Juice,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
arborio-rice,Arborio rice,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
avocado,Avocado,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bacon,Bacon,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
baguette,Baguette,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bakery,Bakery,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
baking-powder,Baking powder,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
baking-soda,Baking soda,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
banana,Banana,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
barbecue-sauce,Barbecue sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
basil,Basil,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bay-leaf,Bay Leaf,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bean,Bean,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
beans,Beans,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
beef,Beef,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
beef-stock,Beef stock,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bell-pepper,Bell Pepper,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
berry,Berry,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
