normalized_label,label,language,required_cohort,prior_entity_slugs,prior_mechanisms,prior_occurrences,decision,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
almond flour,Almond Flour,en,,flour,attribute_alias,36,retain,D2,flour,"{""form"":""flour"",""variety"":""almond""}",operator-corrective-review-v3,full-ontology-resolution-v3,Almond flour is flour with reviewed almond variety; both facets are permitted and defining,corrective-v3.13 culinary identity adjudication
baking powder,Baking powder,en,,baking-powder,attribute_alias,1058,retain,D1,baking-powder,{},operator-corrective-review-v3,full-ontology-resolution-v3,Powder is inherent in the baking-powder prepared identity and is not duplicated as a form facet,corrective-v3.13 culinary identity adjudication
coconut milk,Coconut milk,und,,coconut-milk,exact_alias,361,retain,D1,coconut-milk,{},operator-corrective-review-v3,full-ontology-resolution-v3,Coconut is inherent in the coconut-milk base identity and is not duplicated as a variety facet,corrective-v3.13 culinary identity adjudication
corn starch,Corn starch,und,,corn-starch,exact_alias,135,retarget,D1,cornstarch,{},operator-corrective-review-v3,full-ontology-resolution-v3,Corn is inherent in the canonical cornstarch identity and is not duplicated as a variety facet,corrective-v3.13 duplicate identity adjudication
freshly squeezed lemon juice,freshly squeezed lemon juice,en,,lemon-juice,exact_alias,427,retain,D2,lemon-juice,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Freshly squeezed lemon juice preserves the defining reviewed fresh state,corrective-v3.13 culinary state adjudication
half and half,Half and half,und,,half-and-half,exact_alias,10,retarget,D2,cream,"{""cream_class"":""half_and_half""}",operator-corrective-review-v3,full-ontology-resolution-v3,Half and half is cream with a defining cream class rather than a separate base identity,corrective-v3.13 culinary identity adjudication
pimenta,pimenta,pt,pt,pepper,exact_alias,803,demote,D4,,{},operator-corrective-review-v3,full-ontology-resolution-v3,Bare Portuguese pimenta is Capsicum/Piper ambiguous without a more specific phrase or owner evidence,corrective-v3.13 Portuguese homograph adjudication
tomato sauce,Tomato sauce,und,,tomato-sauce,exact_alias,78,retain,D1,tomato-sauce,{},operator-corrective-review-v3,full-ontology-resolution-v3,Tomato is inherent in the reviewed prepared tomato-sauce identity and is not duplicated as a variety facet,corrective-v3.13 prepared identity adjudication
white chocolate,White chocolate,und,,white-chocolate,exact_alias,135,retarget,D2,chocolate,"{""chocolate_class"":""white""}",operator-corrective-review-v3,full-ontology-resolution-v3,White chocolate is chocolate with a defining chocolate class rather than a separate base identity,corrective-v3.13 culinary identity adjudication
whole milk,whole milk,en,,milk,attribute_alias,643,retain,D2,milk,"{""fat_content"":""whole""}",operator-corrective-review-v3,full-ontology-resolution-v3,Whole describes milk fat class here and is not a physical whole-form facet,corrective-v3.13 dairy facet adjudication
