provider_ref,facet_key,hint_value,entity_slug,rationale,reviewer,review_batch,source_citation
com.vorwerk.ingredients.Ingredient-rpf-168,variety,sunflower,sunflower-seed,Sunflower names the base seed identity and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-174,form,powder,baking-powder,Powder is inherent in the baking-powder identity rather than a separable form requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-182,wine_color,red,vinegar,The red_wine vinegar variety carries the color semantics and avoids a redundant wine-only color facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-28,form,powder,curry-powder,Powder is inherent in the curry-powder prepared identity rather than a separable form requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-30,variety,tomato,tomato,Tomato names the base identity and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-314,wine_color,white,vinegar,The white_wine vinegar variety carries the color semantics and avoids a redundant wine-only color facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-392,form,paste,stock-paste,Paste is inherent in the stock-paste prepared identity rather than a separable form requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-42,variety,white_wine,wine,The reviewed wine_color white facet is the canonical defining signature; the parser variety is redundant,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-5780,variety,tomato,passata,Tomato is inherent in the prepared passata identity rather than a separable variety facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-7,variety,rice,rice,Rice names the base identity and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
com.vorwerk.ingredients.Ingredient-rpf-77,variety,red_wine,wine,The reviewed wine_color red facet is the canonical defining signature; the parser variety is redundant,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 provider term facet review
