entity_slug,decision,contrast_policy,rationale,reviewer,review_batch,source_citation
bread,retain_identity,same_entity_only,Bread is a valid generic culinary requirement; baguette or buns ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
capsicum,retain_identity,same_entity_only,Capsicum is a valid generic culinary requirement; bell or chilli descendants do not satisfy it through ancestry alone,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
cheese,retain_identity,same_entity_only,Cheese is a valid generic culinary requirement; specific cheese descendants do not satisfy it through ancestry alone,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
chilli-pepper,retain_identity,same_entity_only,Chilli pepper is a valid generic culinary requirement; jalapeno ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
chocolate,retain_identity,same_entity_only,Chocolate is a valid generic culinary requirement; only the same chocolate identity with compatible defining facets can satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
coffee,retain_identity,same_entity_only,Coffee is a valid generic culinary requirement; coffee-pod ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
cream,retain_identity,same_entity_only,Cream is a valid generic culinary requirement; sour-cream ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
milk,retain_identity,same_entity_only,Milk is a valid generic culinary requirement; condensed or evaporated milk ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
mustard,retain_identity,same_entity_only,Mustard is a valid generic prepared requirement; specific mustard descendants do not satisfy it through ancestry alone,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
nut-butter,retain_identity,same_entity_only,Nut butter is a valid generic prepared requirement; peanut-butter ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
