prior_case_id,new_case_id,label,prior_status,new_status,new_entity_slug,new_attributes_json,reviewer,rationale,source_citation
critical-negative-001,v313-pos-005,cardamom pods,unresolved,accepted,cardamom,"{""form"":""pod""}",operator-corrective-review-v3,Exact full-span culinary review distinguishes cardamom pods from coffee pods,frozen eval recipe_ingredients.id=1938 plus corrective-v3.13 adjudication
critical-denied-rule-99,v313-pos-005,cardamom pods,unresolved,accepted,cardamom,"{""form"":""pod""}",operator-corrective-review-v3,Rule 99 remains denied for token or head matching while exact full-span cardamom-pods review is now accepted,frozen eval recipe_ingredients.id=1938 plus taxonomy_match_rules.id=99 adjudication
critical-negative-010,v313-pos-006,vanilla pods,unresolved,accepted,vanilla,"{""form"":""pod""}",operator-corrective-review-v3,Exact full-span culinary review treats the plural as vanilla pod form without coffee identity,frozen eval recipe_ingredients.id=88149 plus corrective-v3.13 adjudication
critical-negative-056,v313-pos-011,rice flour,unresolved,accepted,flour,"{""form"":""flour"",""variety"":""rice""}",operator-corrective-review-v3,Exact base-plus-facet review accepts flour and explicitly rejects rice as the base,frozen eval recipe_ingredients.id=4923 plus corrective-v3.13 adjudication
critical-denied-rule-57,v313-pos-011,rice flour,unresolved,accepted,flour,"{""form"":""flour"",""variety"":""rice""}",operator-corrective-review-v3,Rule 57 remains denied for rice token matching while exact full-span rice-flour review accepts the flour base,frozen eval recipe_ingredients.id=4923 plus taxonomy_match_rules.id=57 adjudication
critical-negative-063,v313-pos-013,rice wine vinegar,unresolved,accepted,vinegar,"{""variety"":""rice""}",operator-corrective-review-v3,Exact culinary review accepts vinegar while preventing substring rice or wine identity,frozen eval recipe_ingredients.id=1700 plus corrective-v3.13 adjudication
critical-negative-066,v313-pos-014,rice milk,unresolved,accepted,milk-alternative,"{""variety"":""rice""}",operator-corrective-review-v3,Exact culinary review accepts the plant milk alternative and rejects dairy milk or rice identity,frozen eval recipe_ingredients.id=17781 plus corrective-v3.13 adjudication
critical-negative-134,v313-pos-014,rice milk,unresolved,accepted,milk-alternative,"{""variety"":""rice""}",operator-corrective-review-v3,The duplicate prior boundary row is superseded by the same exact rice milk-alternative adjudication,frozen eval recipe_ingredients.id=17781 plus corrective-v3.13 adjudication
critical-negative-075,v313-pos-016,rice vermicelli,unresolved,accepted,noodle,"{""form"":""noodle"",""variety"":""rice""}",operator-corrective-review-v3,Exact culinary review accepts a rice noodle and rejects bare rice identity,frozen eval recipe_ingredients.id=3204 plus corrective-v3.13 adjudication
critical-negative-080,v313-pos-009,groundnut oil,unresolved,accepted,oil,"{""variety"":""peanut""}",operator-corrective-review-v3,Groundnut is an independently reviewed culinary synonym for peanut oil,frozen eval recipe_ingredients.id=5876 plus corrective-v3.13 adjudication
critical-negative-081,v313-pos-010,arachis oil,unresolved,accepted,oil,"{""variety"":""peanut""}",operator-corrective-review-v3,Arachis is an independently reviewed botanical synonym for peanut oil,corrective-v3.13 culinary terminology adjudication
critical-negative-116,v313-pos-004,red capsicum,unresolved,accepted,bell-pepper,"{""variety"":""red""}",operator-corrective-review-v3,Exact full-span review identifies red bell Capsicum and excludes Piper pepper,frozen eval recipe_ingredients.id=93 plus corrective-v3.13 adjudication
critical-negative-131,v313-pos-015,hazelnut milk,unresolved,accepted,milk-alternative,"{""variety"":""hazelnut""}",operator-corrective-review-v3,Exact culinary review accepts a hazelnut milk alternative and rejects dairy milk,frozen eval recipe_ingredients.id=28840 plus corrective-v3.13 adjudication
critical-negative-136,v313-pos-020,coconut milk,accepted,accepted,coconut-milk,{},operator-corrective-review-v3,Coconut remains the accepted base identity but the redundant self-variety facet is explicitly removed,frozen eval recipe_ingredients.id=1144 plus corrective-v3.13 facet adjudication
independent-holdout-positive-034,v313-pos-021,baking powder,accepted,accepted,baking-powder,{},operator-corrective-review-v3,Powder is inherent in the baking-powder identity and is not duplicated as a form facet,corrective-v3.14 provider and global facet review
independent-holdout-positive-053,v313-neg-002,pimenta,accepted,unresolved,,{},operator-corrective-review-v3,Bare Portuguese pimenta is explicitly ambiguous between Piper and Capsicum meanings,corrective-v3.14 Portuguese homograph review
independent-holdout-positive-064,v313-pos-017,whole milk,accepted,accepted,milk,"{""fat_content"":""whole""}",operator-corrective-review-v3,Whole milk preserves fat content while waiving the parser-only physical whole-form hint,corrective-v3.14 dairy facet review
independent-holdout-positive-112,v313-pos-022,freshly squeezed lemon juice,accepted,accepted,lemon-juice,"{""state"":""fresh""}",operator-corrective-review-v3,Freshly squeezed lemon juice preserves its explicit fresh state,corrective-v3.14 provider and global facet review
independent-holdout-positive-137,v313-pos-020,coconut milk,accepted,accepted,coconut-milk,{},operator-corrective-review-v3,Coconut is inherent in the coconut-milk identity and is not duplicated as a variety facet,corrective-v3.14 identity facet review
independent-holdout-positive-212,v313-pos-038,chopped spring onions,accepted,accepted,spring-onion,"{""form"":""chopped""}",operator-corrective-review-v3,Chopped spring onions preserve the explicit chopped form,corrective-v3.14 transition facet review
independent-holdout-positive-239,v313-pos-039,fresh blueberries,accepted,accepted,blueberry,"{""state"":""fresh""}",operator-corrective-review-v3,Fresh blueberries preserve the explicit fresh state,corrective-v3.14 transition facet review
independent-holdout-positive-240,v313-pos-040,fresh tomatoes,accepted,accepted,tomato,"{""state"":""fresh""}",operator-corrective-review-v3,Fresh tomatoes preserve the explicit fresh state,corrective-v3.14 transition facet review
independent-holdout-positive-241,v313-pos-041,freshly squeezed lime juice,accepted,accepted,lime-juice,"{""state"":""fresh""}",operator-corrective-review-v3,Freshly squeezed lime juice preserves the explicit fresh state,corrective-v3.14 transition facet review
independent-holdout-positive-242,v313-pos-042,granulated sugar,accepted,accepted,sugar,"{""refinement"":""granulated""}",operator-corrective-review-v3,Granulated sugar preserves the explicit granulated refinement,corrective-v3.14 transition facet review
independent-holdout-positive-243,v313-pos-043,ground paprika,accepted,accepted,paprika,"{""form"":""ground""}",operator-corrective-review-v3,Ground paprika preserves the explicit ground form,corrective-v3.14 transition facet review
independent-holdout-positive-246,v313-pos-044,large red onions,accepted,accepted,onion,"{""size"":""large"",""variety"":""red""}",operator-corrective-review-v3,Large red onions preserve both size and red variety,corrective-v3.14 transition facet review
independent-holdout-positive-251,v313-pos-045,low moisture mozzarella,accepted,accepted,mozzarella,"{""moisture"":""low_moisture""}",operator-corrective-review-v3,Low-moisture mozzarella preserves the explicit moisture class,corrective-v3.14 transition facet review
independent-holdout-positive-271,v313-pos-046,rice wine vinegar unseasoned,accepted,accepted,vinegar,"{""seasoning"":""unseasoned"",""variety"":""rice""}",operator-corrective-review-v3,Unseasoned rice wine vinegar preserves rice variety and unseasoned status,corrective-v3.14 transition facet review
independent-holdout-positive-272,v313-pos-047,runny honey,accepted,accepted,honey,"{""form"":""liquid""}",operator-corrective-review-v3,Runny honey preserves the reviewed liquid form,corrective-v3.14 transition facet review
independent-holdout-positive-277,v313-pos-048,shaved parmesan cheese,accepted,accepted,parmesan,"{""form"":""shaved""}",operator-corrective-review-v3,Shaved Parmesan preserves the explicit shaved form,corrective-v3.14 transition facet review
independent-holdout-positive-281,v313-neg-012,spring onions shallots,accepted,unresolved,,{},operator-corrective-review-v3,The mixed spring-onion and shallot phrase is not a safe single identity,corrective-v3.14 composite-label review
independent-holdout-positive-285,v313-pos-049,uncooked whole chicken,accepted,accepted,chicken,"{""form"":""whole"",""processing"":""raw"",""species"":""chicken""}",operator-corrective-review-v3,Uncooked whole chicken preserves raw processing whole form and chicken species,corrective-v3.14 transition facet review
independent-holdout-positive-288,v313-pos-050,white rice,accepted,accepted,rice,"{""refinement"":""white""}",operator-corrective-review-v3,White rice preserves the explicit white refinement,corrective-v3.14 transition facet review
independent-holdout-positive-156,v314-pos-001,de poivre noir moulu,accepted,accepted,piper-pepper,"{""form"":""ground"",""variety"":""black""}",operator-corrective-review-v3,The reviewed French label now preserves explicit ground form and black Piper variety,corrective-v3.14 transition facet review
independent-holdout-positive-165,v314-pos-002,de pimienta negra molida,accepted,accepted,piper-pepper,"{""form"":""ground"",""variety"":""black""}",operator-corrective-review-v3,The reviewed Spanish label now preserves explicit ground form and black Piper variety,corrective-v3.14 transition facet review
