case_id,polarity,source_corpus,source_record_key,original_label,language,resolver_context_json,expected_status,expected_entity_slug,expected_attributes_json,expected_evidence_json,evidence_category,primary_evidence_citation,rationale,adjudicator,adjudicated_at
v313-pos-001,positive,frozen_eval_recipe_ingredient,eval-ri-105,water,en,{},accepted,water,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=105 plus independent culinary adjudication,The label names water directly and carries no defining modifier.,operator-corrective-review-v3,2026-08-11
v313-pos-002,positive,frozen_eval_recipe_ingredient,eval-ri-94,sea salt,en,{},accepted,salt,"{""salt_class"":""sea""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=94 plus independent culinary adjudication,Sea identifies a defining salt class while the base remains salt.,operator-corrective-review-v3,2026-08-11
v313-pos-003,positive,frozen_eval_recipe_ingredient,eval-ri-89,ground black pepper,en,{},accepted,piper-pepper,"{""form"":""ground"",""variety"":""black""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=89 plus independent culinary adjudication,Ground black pepper is Piper pepper with exact ground and black facets.,operator-corrective-review-v3,2026-08-11
v313-pos-004,positive,frozen_eval_recipe_ingredient,eval-ri-93,red capsicum,en,{},accepted,bell-pepper,"{""variety"":""red""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=93 plus independent culinary adjudication,Red capsicum denotes red bell pepper and must never resolve to Piper pepper.,operator-corrective-review-v3,2026-08-11
v313-pos-005,positive,frozen_eval_recipe_ingredient,eval-ri-1938,cardamom pods,en,{},accepted,cardamom,"{""form"":""pod""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1938 plus independent culinary adjudication,Pods describe cardamom form and do not imply coffee-pod identity.,operator-corrective-review-v3,2026-08-11
v313-pos-006,positive,frozen_eval_recipe_ingredient,eval-ri-88149,vanilla pods,en,{},accepted,vanilla,"{""form"":""pod""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=88149 plus independent culinary adjudication,Plural vanilla pods retain vanilla identity with pod form.,operator-corrective-review-v3,2026-08-11
v313-pos-007,positive,frozen_eval_recipe_ingredient,eval-ri-899,olive oil,en,{},accepted,oil,"{""variety"":""olive""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=899 plus independent culinary adjudication,Olive is the defining oil variety; the mapping is not to olive fruit.,operator-corrective-review-v3,2026-08-11
v313-pos-008,positive,frozen_eval_recipe_ingredient,eval-ri-2868,peanut oil,en,{},accepted,oil,"{""variety"":""peanut""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=2868 plus independent culinary adjudication,Peanut modifies the oil variety and must not satisfy peanut identity.,operator-corrective-review-v3,2026-08-11
v313-pos-009,positive,frozen_eval_recipe_ingredient,eval-ri-5876,groundnut oil,en,{},accepted,oil,"{""variety"":""peanut""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=5876 plus independent culinary adjudication,Groundnut is a reviewed culinary synonym for peanut oil.,operator-corrective-review-v3,2026-08-11
v313-pos-010,positive,adjudicated_culinary_reference,culinary-arachis-oil-v1,arachis oil,en,{},accepted,oil,"{""variety"":""peanut""}","{""mapping_source"":""attribute_alias""}",culinary_identity,culinary identity: Arachis hypogaea oil,Arachis identifies peanut as the oil source without changing the oil base.,operator-corrective-review-v3,2026-08-11
