product_id,product_fingerprint,product_name,prior_state,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
3,170e0b0508076673cda6aff50e48f8610c1c19298cc9f2fb689c543b595c8ffa,PANDA BRAND OYSTER SAUCE,full-resolution-v1:D1,D1,oyster-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
4,516a0c400bfb42bff8b8e8356d91e5682dc89850fa2b61a3e552da651c1ae38c,Chimichurri Steak Sauce,full-resolution-v1:D1,D1,chimichurri-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
5,4a5c46a1e79abe83edf7bcfd22ba5da144067d726a327efa99d9111cfd7837de,Lime Juice,full-resolution-v1:D1,D1,lime-juice,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
6,fe955a2bc64122c89e8f78a30c8850432a31ced6c9c24fa3bfcdbc8709d1c558,Fermented Chile Paste,full-resolution-v1:D2,D2,chili-paste,"{""form"":""paste"",""processing"":""fermented""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
7,4066dce1a8279e396efb7b73c79ad4abe89e080c4a2740499a80ef064aa3049e,minced ginger,full-resolution-v1:D2,D2,ginger,"{""form"":""minced""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
8,4f9a8417d4afb39d0a8360a30c322134e3f2717445a45f3e58082ccd9ec4fe00,CHILI GARLIC SAUCE,full-resolution-v1:D1,D1,chili-garlic-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
9,3f6cef27790da47aa5a200da54e99815651ef1a875a9c18a2216cfb392fad63c,Black bean gatlic sauce,full-resolution-v1:D1,D1,black-bean-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
10,25dd92844e72fdbc5e1c5c8989195165b97507d597d9ac313105d54e10936cf7,Sriracha Hot Chili Sauce,full-resolution-v1:D1,D1,chili-garlic-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
11,45c0cc0fb23c685583d4386d267869af55b68f6e887f3107ff00225823706eda,SESAME OIL,full-resolution-v1:D2,D2,oil,"{""variety"":""sesame""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
12,74cdf84d5728be8f3d4d635f9affeb1394e44d11a9703017de89dd09a289f679,Red curry paste,full-resolution-v1:D2,D2,curry-paste,"{""form"":""paste""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
