child_slug,previous_parent_slug,new_parent_slug,change_kind,review_state,reviewer,review_batch,rationale,source_citation
apple-juice,,juice,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed addition under the specific juice identity,corrective-v3.13 frozen prior graph plus culinary subtype review
bacon,pork,meat,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Removed derived-from misuse while retaining bacon under prepared meat,corrective-v3.13 frozen prior graph plus culinary subtype review
breadcrumbs,,bakery,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed prepared bakery parent while bread is retained as non-satisfying derivation,corrective-v3.13 frozen prior graph plus culinary subtype review
chili-pepper,sauce,,removed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Removed inactive spelling duplicate edge instead of encoding equivalence as is-a,corrective-v3.13 frozen prior graph plus duplicate review
coconut-milk,beverage,milk-alternative,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed the more specific plant milk-alternative parent,corrective-v3.13 frozen prior graph plus culinary subtype review
coffee-creamer,creamer,creamer,unchanged,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Preserved the reviewed creamer parent instead of the v3.12 beverage fallback,corrective-v3.13 frozen prior graph plus culinary subtype review
coffee-pod,coffee,coffee,unchanged,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Preserved the reviewed coffee parent instead of the v3.12 beverage fallback,corrective-v3.13 frozen prior graph plus culinary subtype review
duck,meat,poultry,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed duck as poultry under the meat branch,corrective-v3.13 frozen prior graph plus culinary subtype review
eggplant,,vegetable,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed common eggplant identity under the vegetable branch,corrective-v3.17 common ingredient coverage review
fish-sauce,,sauce,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed specific sauce parent,corrective-v3.13 frozen prior graph plus culinary subtype review
foie-gras,duck,prepared-food,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Removed the false assertion that generic foie gras is a duck subtype,corrective-v3.13 frozen prior graph plus culinary identity review
grits,corn,cereal,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Removed derived-from misuse and reviewed grits as prepared cereal,corrective-v3.13 frozen prior graph plus culinary subtype review
half-and-half,cream,,removed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Removed inactive duplicate edge after canonicalizing to cream plus cream_class,corrective-v3.13 frozen prior graph plus duplicate review
lemon-juice,,juice,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed addition under the specific juice identity,corrective-v3.13 frozen prior graph plus culinary subtype review
lime-juice,juice,juice,unchanged,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Preserved the reviewed specific juice parent,corrective-v3.13 frozen prior graph plus culinary subtype review
nut-butter,butter,spread,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Removed lexical butter ancestry and reviewed nut butter as a spread,corrective-v3.13 frozen prior graph plus culinary subtype review
orange-juice,,juice,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed addition under the specific juice identity,corrective-v3.13 frozen prior graph plus culinary subtype review
pear-marmalade,pear,fruit-preserve,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Removed derived-from misuse and reviewed marmalade under fruit preserve,corrective-v3.13 frozen prior graph plus culinary identity review
pecorino,ingredient,cheese,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Promoted the quarantined generic Pecorino placeholder into the reviewed cheese identity branch,corrective-v3.18 pecorino identity adjudication
pecorino-romano,,pecorino,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Added the specific Pecorino Romano variety beneath generic Pecorino,corrective-v3.18 pecorino identity adjudication
pineapple-juice,,juice,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed addition under the specific juice identity,corrective-v3.13 frozen prior graph plus culinary subtype review
soy-sauce,condiment,sauce,changed,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed the more specific sauce parent while sauce remains under condiment,corrective-v3.13 frozen prior graph plus culinary subtype review
stock-paste,,stock-base,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed concentrated stock-base parent,corrective-v3.13 frozen prior graph plus culinary subtype review
white-chocolate,,,unchanged,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Inactive duplicate has no primary edge after canonicalization to chocolate class,corrective-v3.13 frozen prior graph plus duplicate review
worcestershire-sauce,,sauce,added,reviewed,operator-corrective-review-v3,full-ontology-resolution-v3,Reviewed specific sauce parent,corrective-v3.13 frozen prior graph plus culinary subtype review
