prior_case_id,disposition,rationale_code,source_citation
independent-holdout-positive-002,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-003,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-005,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-007,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-008,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-010,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-012,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-013,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-014,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-015,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-016,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-017,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-018,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-019,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-020,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-021,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-022,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-023,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-025,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-026,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-027,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-028,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-029,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-030,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-031,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-032,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-033,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-035,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-036,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-037,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-038,retired,generated_or_unbound_v2_case,v3.15_lineage_review
independent-holdout-positive-039,retired,generated_or_unbound_v2_case,v3.15_lineage_review
