child_slug,parent_slug,semantic_kind,reviewer,rationale,source_citation
apple-juice,juice,subtype,operator-corrective-review-v3,Apple juice is a fruit-specific juice identity,corrective-v3.13 complete identity-parent audit
baguette,bread,subtype,operator-corrective-review-v3,A baguette is a bread type rather than merely a bread component,corrective-v3.13 complete identity-parent audit
bell-pepper,capsicum,subtype,operator-corrective-review-v3,Bell pepper is a Capsicum identity distinct from Piper pepper,corrective-v3.13 complete identity-parent audit
bitters,flavoring,subtype,operator-corrective-review-v3,Culinary bitters are a flavoring identity,corrective-v3.13 complete identity-parent audit
black-bean,bean,subtype,operator-corrective-review-v3,Black bean is a bean variety identity,corrective-v3.13 complete identity-parent audit
brie,cheese,subtype,operator-corrective-review-v3,Brie is a cheese type,corrective-v3.13 complete identity-parent audit
brown-mustard,mustard,subtype,operator-corrective-review-v3,Brown mustard is a mustard type,corrective-v3.13 complete identity-parent audit
buns,bread,subtype,operator-corrective-review-v3,Buns are a bread type,corrective-v3.13 complete identity-parent audit
caesar-dressing,salad-dressing,subtype,operator-corrective-review-v3,Caesar dressing is a salad-dressing type,corrective-v3.13 complete identity-parent audit
cheddar,cheese,subtype,operator-corrective-review-v3,Cheddar is a cheese type,corrective-v3.13 complete identity-parent audit
cherry-pie,pie,subtype,operator-corrective-review-v3,Cherry pie is a pie type,corrective-v3.13 complete identity-parent audit
chilli-pepper,capsicum,subtype,operator-corrective-review-v3,Chilli pepper is a Capsicum identity distinct from Piper pepper,corrective-v3.13 complete identity-parent audit
clams,shellfish,subtype,operator-corrective-review-v3,Clams are a shellfish type,corrective-v3.13 complete identity-parent audit
coconut-milk,milk-alternative,subtype,operator-corrective-review-v3,Coconut milk is a plant milk-alternative identity,corrective-v3.13 complete identity-parent audit
coffee-creamer,creamer,subtype,operator-corrective-review-v3,Coffee creamer is a creamer type,corrective-v3.13 complete identity-parent audit
coffee-pod,coffee,subtype,operator-corrective-review-v3,A coffee pod is a packaged prepared coffee identity,corrective-v3.13 complete identity-parent audit
condensed-milk,milk,subtype,operator-corrective-review-v3,Condensed milk is a prepared milk type,corrective-v3.13 complete identity-parent audit
cooking-wine,wine,subtype,operator-corrective-review-v3,Cooking wine is a wine type,corrective-v3.13 complete identity-parent audit
cornstarch,starch,subtype,operator-corrective-review-v3,Cornstarch is a starch type,corrective-v3.13 complete identity-parent audit
