id,polarity,label,language,expected_status,expected_entity_slug,expected_attributes,context,source_citation,reviewer,rationale
independent-holdout-positive-001,positive,(WATER),und,accepted,water,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-002,positive,(SALT),und,accepted,salt,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-003,positive,(SALZ),de,accepted,salt,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-004,positive,(GROUND BLACK PEPPER),en,accepted,piper-pepper,"{""form"":""ground"",""variety"":""black""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-005,positive,(WASSER),de,accepted,water,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-006,positive,(GARLIC CLOVES),und,accepted,garlic,"{""form"":""clove""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-007,positive,(BUTTER),und,accepted,butter,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-008,positive,(D EAU),und,accepted,water,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-009,positive,(UNSALTED BUTTER),en,accepted,butter,"{""saltedness"":""unsalted""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-010,positive,(DE SEL),fr,accepted,salt,{},"{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-011,positive,(OLIVE OIL),en,accepted,oil,"{""variety"":""olive""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-012,positive,(FINE SEA SALT),en,accepted,salt,"{""form"":""fine"",""salt_class"":""sea""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-013,positive,(SUGAR),und,accepted,sugar,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-014,positive,(ZUCKER),de,accepted,sugar,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-015,positive,(PFEFFER),de,accepted,piper-pepper,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-016,positive,(DI SALE),it,accepted,salt,{},"{""cohort"":""it""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-017,positive,(EXTRA VIRGIN OLIVE OIL),en,accepted,oil,"{""variety"":""olive""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
