review_fingerprint,expected_product_id,disposition_code,entity_slug,attributes_json,rationale
ed55a59be004c85f45d42015bab8b493b70edd1f29701ec5e66a67a04562daa2,15,D5,,{},Retail salsa is prepared/composite and bare salsa identity is quarantined
01d15f1266ce35881eb71eb6e4db7efebb859f680c21be54777f0702f2b320bd,25,D9,,{},Light mayonnaise identity and defining formulation are not proven
c20d2d9f297e779e5fb770aa70734b021b45326dc0e82e48958c8f61860f00e7,39,D9,,{},Personal leftovers label is opaque but not automatically noise
cba9ab366269b9e6dfbff5eb5090a0d1c13c761b4ce2e4bd58fac6ce3d54a1ea,45,D2,wine,"{""wine_sweetness"":""sweet""}",Reviewed dessert wine base and sweetness
a6ef7ab41410979ad995509a93a83242d4b4f79ce6df8fc8516a90398196d534,49,D5,,{},Multi-ingredient retail soup is composite
fc4c94ab5648be0ab9291b4dd6feaaeebf244f1645bba5b36a4919214621cb6a,54,D5,,{},Retail cake is composite
07d12adf99abb74ef50417977492a2071c7565e2359ca0a21d10701d645e2d62,59,D5,,{},Espresso martini is a prepared composite beverage
a1e56accc2c38766574289fc95e2f138482f224edcbcb42df62686ccdab82928,60,D5,,{},Retail salsa is prepared/composite and bare salsa identity is quarantined
32c85fa67437c81df00101ae6e5319e02b5716b659a53c61c519a1242a26b55d,61,D5,,{},Birthday cake is composite
cfc0fa315c4d1078f8a31b9d449ea4254fb5b437a1da0f68106b9a7e5942d7aa,64,D5,,{},Quesabirria is a prepared meal
20cc75ab620e57e32349297ba1478fec7b4aea5893e55eb538947d14e3a0a947,65,D9,,{},Personal restaurant shorthand is opaque
9115485f2db09eb329cd7e8a5363c4a47925300e0c1fb8c6b203c973ac672ae3,66,D9,,{},Crispy retail processing is not sufficiently specified
3f9545d1a675812c11040e3144d404aa53e6d9a8a0cac0109ba3fa82b971d22a,68,D5,,{},Tamarind soft drink is a prepared beverage
24d26d019036d84ab0833312a59dc8f7738f67eeab28f43872154c69130c02ec,72,D9,,{},Opaque branded alcoholic beverage lacks a reviewed exact identity
3acdf57cc1747f727b3cd7bd580d1b68c736dabce5be2ffeaa70b75a9eaef487,73,D9,,{},Opaque branded alcoholic beverage lacks a reviewed exact identity
eeec483273d2539ccddc222ec24a04a4c43766bcb1e448ae1f8148a9518fccd7,84,D5,,{},Tamarind soda is a prepared beverage
b07a931ee4391891f8ff2e8ac1a53d7051ee79623a73f52768a60836434cc300,85,D9,,{},Flavored branded soju lacks an exact reviewed product identity
c43e44abf9dabfc3593c83c6fa0f6d798c512b2cd1726b42387b3e40bf3eeee4,94,D9,,{},Opaque assortment label does not prove a single spread identity
797a16fad18afb208009ab9086868565f4e97824b29da20e81e62dc00b866536,101,D5,,{},Tacos are a prepared composite meal
029cc1df2bb1fbb3db70baa146dd37a3178b74bff06370bf9824f67c5edef40e,121,D4,,{},Garnish vegetables do not identify one base ingredient
e8f60fa8de68b755ab7b04ff5855e6720cf5400dec06e35b43d781b89a74e6d2,122,D5,,{},Named chicken dish is a prepared composite
78a32955cf6e5d02693a81cbc53e701b2795b6cab5c9d7b7c587cb90bdc87694,123,D1,pasta,{},Reviewed exact pasta identity
17624dc9bbb0ab70d0ba414b084869fdf28e0cda886068434659a11468ecdbd2,124,D5,,{},Named dish sauce is prepared/composite
