normalized_label,facet_key,hint_value,entity_slug,rationale,reviewer,review_batch,source_citation
almond,variety,almond,almond,The token names the base identity itself and is not a distinct almond variety facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
baking powder,form,powder,baking-powder,Powder is inherent in the reviewed baking-powder identity rather than a separable form requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
coconut milk,variety,coconut,coconut-milk,Coconut is inherent in the reviewed coconut-milk identity rather than a separable variety facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
corn starch,variety,corn,cornstarch,Corn is inherent in the canonical cornstarch identity rather than a separable variety facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
di olive,variety,olive,olive,Olive names the base identity itself and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
egg noodles,egg_part,whole,noodle,Egg is a noodle variety/component here and does not assert whole-egg part as a defining noodle facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
flour,form,flour,flour,Flour names the base identity itself and does not require a duplicated form facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
olive,variety,olive,olive,Olive names the base identity itself and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
red wine vinegar,wine_color,red,vinegar,The reviewed red_wine vinegar variety already carries the color semantics and avoids a redundant wine-only color facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
rice,variety,rice,rice,Rice names the base identity itself and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
sesame seeds,variety,sesame,sesame-seed,Sesame names the base seed identity itself and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
tomato,variety,tomato,tomato,Tomato names the base identity itself and is not a distinct variety requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
tomato sauce,variety,tomato,tomato-sauce,Tomato is inherent in the prepared tomato-sauce identity rather than a separable variety facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
white wine vinegar,wine_color,white,vinegar,The reviewed white_wine vinegar variety already carries the color semantics and avoids a redundant wine-only color facet,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
whole milk,form,whole,milk,Whole describes reviewed milk fat content here and is not a physical whole-form requirement,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 transition facet review
